country,year,S_proxy,N_proxy,R_proxy,Crisis,_N_stability,N_noise,_S,_N_raw,_N,_R,E
CHN,2022,0.494212538003922,-0.45127671957016,75.6113,0.0013212221304739,0.20520730227441927,0.7947926977255807,0.5078370018707554,0.8300476749486686,0.8300476749486686,0.2987441246291642,0.18277663459217597
CHN,2023,0.679014027118683,-0.513097047805786,90.6,0.088258158555347,0.2009215716005366,0.7990784283994634,0.5831572350603244,0.8530997020684352,0.8530997020684352,0.6375219434849084,0.4357937682448281
CHN,2024,,,92.0,0.0890935530780417,0.5,0.5,0.5,0.5,0.5,0.7534430241922792,0.7534430241922792
DEU,1996,1.7246767282486,1.28849947452545,3.05,0.0275136490183805,0.979838325282374,0.020161674717625977,0.9495547818881515,0.009375011427364759,0.009375011427364759,0.2727693319742941,1.5
DEU,1997,,,6.71,0.0030314005386349,0.5,0.5,0.5,0.5,0.5,0.3562190417885017,0.3562190417885017
DEU,1998,1.81250166893005,1.24214780330658,9.88,0.0544408232492799,0.9989568871303739,0.001043112869626106,0.9752085633757694,0.00047515202953740134,0.00047515202953740134,0.3213701482179151,1.5
DEU,1999,,,20.8,0.0707283467884606,0.5,0.5,0.5,0.5,0.5,0.5373135316590635,0.5373135316590635
DEU,2000,1.80453169345856,1.41133570671082,30.2163,0.0279865806401299,1.0,0.0,0.9910134288861064,0.0,1e-09,0.6094591744577049,1.5
DEU,2001,,,31.6509,0.000807134332764,0.5,0.5,0.5,0.5,0.5,0.550476688047438,0.550476688047438
DEU,2002,1.66001808643341,1.09601747989655,48.82,0.028959692224237,0.9504678523418534,0.04953214765814662,0.9252376481164,0.04914958625280362,0.04914958625280362,0.8017767018517153,1.5
DEU,2003,1.35740518569946,0.577859222888947,55.9,0.0482888906857189,0.8058812317842179,0.1941187682157821,0.7745876498110229,0.19850601823660394,0.19850601823660394,0.8578428050173731,1.5
DEU,2004,1.46714746952057,0.638884365558624,64.73,0.016713151672004,0.8568112726322171,0.14318872736778288,0.7909580184715944,0.1381969936607875,0.1381969936607875,0.9827786212201077,1.5
DEU,2005,1.5005247592926,0.888915359973907,68.71,0.0226544426243355,0.9675626195128479,0.03243738048715206,0.8525603924241912,0.0160937808510779,0.0160937808510779,0.9689262255890577,1.5
DEU,2006,1.64597606658936,1.02506959438324,72.16,0.0211286785797189,0.9726265257637803,0.02737347423621972,0.9346777800012707,0.015438651684734279,0.015438651684734279,0.9983837561023308,1.5
DEU,2007,1.63131237030029,0.995823800563812,75.16,0.0149172003504755,0.9936586201518175,0.0063413798481825046,0.9284273781003731,0.0061493125621121525,0.0061493125621121525,1.0,1.5
DEU,2008,1.51405537128448,0.943830788135529,78.0,0.0314189908186099,0.9738278348210823,0.02617216517891774,0.8687230819529955,0.01583280881433394,0.01583280881433394,0.997547786720322,1.5
