country,year,S_proxy,N_proxy,R_proxy,Crisis
CAN,2024,,,,0.01907919164058549
CHN,1996,-0.348653882741928,-0.0978488251566887,0.0131,0.315658014446954
CHN,1997,,,0.0324,0.039323252765940994
CHN,1998,-0.198783293366432,-0.394105225801468,0.169,0.13865930057746575
CHN,1999,,,0.708,0.1700736341382325
CHN,2000,-0.158842876553535,-0.20991687476635,1.77591,0.08260943865677085
CHN,2001,,,2.63965,0.0640437195439941
CHN,2002,-0.123097203671932,-0.327627182006836,4.5957,0.13659854511751246
CHN,2003,-0.147587299346924,-0.56535792350769,6.2,0.0436198256351815
CHN,2004,-0.109930388629436,-0.39068067073822,7.3,0.09123187155408
CHN,2005,-0.140640497207642,-0.501756608486176,8.52326,0.011179296166215002
CHN,2006,0.0357880145311356,-0.540030121803284,10.5232,0.017528450272069996
CHN,2007,0.165997371077538,-0.500553727149963,16.0,0.140838383689417
CHN,2008,0.165779024362564,-0.49308842420578,22.6,0.196262568520546
CHN,2009,0.0932420492172241,-0.451781332492828,28.9,0.13640826254664515
CHN,2010,0.0918448567390442,-0.65706068277359,34.3,0.0587662376345995
CHN,2011,0.0836087092757225,-0.602054834365845,38.3,0.1776949461287455
CHN,2012,0.0153677640482783,-0.538782060146332,42.3001,0.0309762163227695
CHN,2013,-0.00512068951502442,-0.543789923191071,45.8,0.03105250087405951
CHN,2014,0.354851633310318,-0.522584021091461,47.9,0.003917918605739002
CHN,2015,0.417423009872437,-0.552559673786163,50.3,0.028148809532172005
CHN,2016,0.356383770704269,-0.502221345901489,53.2,9.109597101097933e-08
CHN,2017,0.416875630617142,-0.232558101415634,54.3,0.0203431999642835
CHN,2018,0.496678441762924,-0.298572480678558,59.2,0.0037395199827874983
CHN,2019,0.544862508773804,-0.259780675172806,64.0809,0.04496170817911449
CHN,2020,0.643971681594849,-0.474127858877182,70.0528,0.020971094728889007
CHN,2021,0.80791163444519,-0.516462862491608,73.0532,0.050949243222755305
CHN,2022,0.494212538003922,-0.45127671957016,75.6113,0.0013212221304739979
CHN,2023,0.679014027118683,-0.513097047805786,90.6,0.088258158555347
CHN,2024,,,92.0,0.0890935530780417
DEU,1996,1.7246767282486,1.28849947452545,3.05,0.027513649018380503
DEU,1997,,,6.71,0.0030314005386349986
DEU,1998,1.81250166893005,1.24214780330658,9.88,0.05444082324927994
DEU,1999,,,20.8,0.0707283467884606
DEU,2000,1.80453169345856,1.41133570671082,30.2163,0.027986580640129998
DEU,2001,,,31.6509,0.0008071343327640035
DEU,2002,1.66001808643341,1.09601747989655,48.82,0.028959692224237
DEU,2003,1.35740518569946,0.577859222888947,55.9,0.048288890685718996
DEU,2004,1.46714746952057,0.638884365558624,64.73,0.016713151672004
DEU,2005,1.5005247592926,0.888915359973907,68.71,0.022654442624335504
DEU,2006,1.64597606658936,1.02506959438324,72.16,0.021128678579718996
DEU,2007,1.63131237030029,0.995823800563812,75.16,0.014917200350475501
DEU,2008,1.51405537128448,0.943830788135529,78.0,0.03141899081860999
DEU,2009,1.57510924339294,0.859902501106262,79.0,0.0843630496315778
DEU,2010,1.51569378376007,0.796834468841553,82.0,0.044809481105369996
